thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,text.started,BREAK.started,key_resp_5.started,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.019203700008802116,0.03650990000460297,0.018679399974644184,19.84166430006735,[0.48833333333333334],[0.18],[1],[0],[0],[19.821548900101334],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
0,0,0,[0.48833333333333334],[0.18],[1],[0],[0],[2.6610590999480337],[],[],[],[],[],[],0,0,0,0,0,0,0,0,19.858430600026622,,,,,,,,,,,,19.846204700064845,19.858430600026622,0.004457800067029893,19.858430600026622,20.05829169997014,21.83580450003501,21.83580450003501,21.83580450003501,21.847103400039487,22.508239999995567,2,task,0.6610590999480337,[0.48833333333333334],[0.18],[1],[0],[0],[2.6610590999480337],22.50853500002995,22.52459390007425,0.00012129999231547117,22.824760099989362,24.15153380006086,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
1,0,1,[0.48833333333333334],[0.18],[1],[0],[0],[2.277281899936497],[],[],[],[],[],[],0,0,0,0,1,0,1,0,24.158687800052576,,,,,,,,,,,,24.151865900028497,24.158687800052576,0.00022829999215900898,24.158687800052576,24.358197099994868,26.148001700057648,26.148001700057648,26.148001700057648,26.15860690001864,26.43061789998319,2,task,0.2772818999364972,[0.48833333333333334],[0.18],[1],[0],[0],[2.277281899936497],26.43090390006546,26.435992300044745,0.00011820008512586355,26.73640890000388,27.962063600076362,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
2,0,2,[0.48833333333333334],[0.18],[1],[0],[0],[2.3671714999945834],[],[],[],[],[],[],0,0,0,0,2,0,2,0,27.96895999996923,,,,,,,,,,,,27.96232749999035,27.96895999996923,0.00023520004469901323,27.96895999996923,28.169227999984287,29.958011500071734,29.958011500071734,29.958011500071734,29.969414600054733,30.33042100002058,2,task,0.36717149999458343,[0.48833333333333334],[0.18],[1],[0],[0],[2.3671714999945834],30.330654700053856,30.336082500056364,0.00012000009883195162,30.646444999962114,31.894796899985522,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
3,0,3,[0.48833333333333334],[0.18],[1],[0],[0],[2.4117716000182554],[],[],[],[],[],[],0,0,0,0,3,0,3,0,31.90188650006894,,,,,,,,,,,,31.89512610004749,31.90188650006894,0.0002455000067129731,31.90188650006894,32.10239350004122,33.89144779997878,33.89144779997878,33.89144779997878,33.90265669999644,34.30778260005172,2,task,0.4117716000182554,[0.48833333333333334],[0.18],[1],[0],[0],[2.4117716000182554],34.308043600060046,34.31373779999558,0.00012690003495663404,34.61336289998144,35.51805329998024,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
4,0,4,[0.48833333333333334],[0.18],[1],[0],[0],[2.3779277000576258],[],[],[],[],[],[],0,0,0,0,4,0,4,0,35.524762699962594,,,,,,,,,,,,35.51836710004136,35.524762699962594,0.0002455000067129731,35.524762699962594,35.725467700045556,37.51362960005645,37.51362960005645,37.51362960005645,37.52610320004169,37.89730990002863,2,task,0.37792770005762577,[0.48833333333333334],[0.18],[1],[0],[0],[2.3779277000576258],37.897591300075874,37.902513800072484,0.00014020001981407404,38.20289670000784,39.17365879996214,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
5,0,5,[0.48833333333333334],[0.18],[1],[0],[0],[2.3535529000218958],[],[],[],[],[],[],0,0,0,0,5,0,5,0,39.18050590006169,,,,,,,,,,,,39.174045199994,39.18050590006169,0.00023950007744133472,39.18050590006169,39.38035079999827,41.16865320003126,41.16865320003126,41.16865320003126,41.17970930004958,41.52828570001293,2,task,0.35355290002189577,[0.48833333333333334],[0.18],[1],[0],[0],[2.3535529000218958],41.528486300027,41.535589599981904,9.50999092310667e-05,41.83591909997631,42.86285440006759,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
6,0,6,[0.48833333333333334],[0.18],[1],[0],[0],[2.3642258999170735],[],[],[],[],[],[],0,0,0,0,6,0,6,0,42.86961270007305,,,,,,,,,,,,42.8632087999722,42.86961270007305,0.0002677000593394041,42.86961270007305,43.069205500069074,44.85774070001207,44.85774070001207,44.85774070001207,44.868909800075926,45.228277100017294,2,task,0.36422589991707355,[0.48833333333333334],[0.18],[1],[0],[0],[2.3642258999170735],45.228462300030515,45.235076699987985,8.859997615218163e-05,45.535815600072965,46.83819030004088,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
7,0,7,[0.48833333333333334],[0.18],[1],[0],[0],[2.38026489992626],[],[],[],[],[],[],0,0,0,0,7,0,7,0,46.846627500024624,,,,,,,,,,,,46.838502699974924,46.846627500024624,0.0002503000432625413,46.846627500024624,47.04644649999682,48.836177699966356,48.836177699966356,48.836177699966356,48.84686040005181,49.21971079998184,2,task,0.3802648999262601,[0.48833333333333334],[0.18],[1],[0],[0],[2.38026489992626],49.2199540999718,49.22452459996566,0.00011570006608963013,49.52484299999196,50.83861179999076,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
8,0,8,[0.48833333333333334],[0.18],[1],[0],[0],[2.3580621000146493],[],[],[],[],[],[],0,0,0,0,8,0,8,0,50.84667650004849,,,,,,,,,,,,50.83887970005162,50.84667650004849,0.00019649998284876347,50.84667650004849,51.046970700030215,52.835324199986644,52.835324199986644,52.835324199986644,52.84621790004894,53.197828900069,2,task,0.35806210001464933,[0.48833333333333334],[0.18],[1],[0],[0],[2.3580621000146493],53.19808220001869,53.21295239997562,0.00012860004790127277,53.51272090000566,54.716717200004496,[],[],[],[],[],[],,,,,190121,001,2025-01-26_17h42.36.042,Foreperiod_task,2024.2.4,89.49578962393147,2025-01-26 17h42.46.816475 -0800,
