thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,AVG.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Photodiode_2.stopped,Intertrial_Period.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.0032130004838109016,0.020472300238907337,0.0030570998787879944,41.105484100058675,[-0.47314814814814815],[0.018518518518518517],[1],[0],[0],[41.10184200014919],,,,,,,,,,,,,,,,,,,,,,,,,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
0,0,0,[-0.3416666666666667],[0.11666666666666667],[1],[0],[0],[4.353709999471903],0,0,0,0,0,0,0,0,41.12180829979479,,,,,,,,,,,,41.10619660001248,41.12180829979479,0.0006574997678399086,41.12180829979479,41.12180829979479,41.32232640031725,43.10652040038258,43.10652040038258,43.10652040038258,43.12397880014032,45.46055550035089,2,normal,2.353709999471903,[-0.3416666666666667],[0.11666666666666667],[1],[0],[0],[4.353709999471903],45.460936499759555,45.47552070021629,45.776017299853265,46.794335399754345,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
1,0,1,[-0.37407407407407406],[0.2638888888888889],[1],[0],[0],[2.284630499780178],0,0,0,0,1,0,1,0,46.81013169977814,,,,,,,,,,,,46.794691200368106,46.81013169977814,0.00038160011172294617,46.81013169977814,46.81013169977814,47.01025949977338,47.29397999960929,47.29397999960929,47.29397999960929,47.31038579996675,49.08000830002129,0.5,normal,1.784630499780178,[-0.37407407407407406],[0.2638888888888889],[1],[0],[0],[2.284630499780178],49.08032360021025,49.09545260015875,49.39568670000881,50.43052479997277,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
2,0,2,[-0.31851851851851853],[0.2814814814814815],[1],[0],[0],[4.736927499994636],0,0,0,0,2,0,2,0,50.446561000309885,,,,,,,,,,,,50.430795500054955,50.446561000309885,0.0002866992726922035,50.446561000309885,50.446561000309885,50.646702899597585,52.431481000036,52.431481000036,52.431481000036,52.44816080015153,55.16844329982996,2,normal,2.7369274999946356,[-0.31851851851851853],[0.2814814814814815],[1],[0],[0],[4.736927499994636],55.168790499679744,55.1838143998757,55.48398349992931,56.65229749958962,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
3,0,3,[-0.37592592592592594],[0.14351851851851852],[1],[0],[0],[5.92145590018481],0,0,0,0,3,0,3,0,56.668351099826396,,,,,,,,,,,,56.65255040023476,56.668351099826396,0.00026929937303066254,56.668351099826396,56.668351099826396,56.86852649971843,57.151468000374734,57.151468000374734,57.151468000374734,57.1681045005098,62.574726100079715,0.5,normal,5.42145590018481,[-0.37592592592592594],[0.14351851851851852],[1],[0],[0],[5.92145590018481],62.57511730026454,62.589962899684906,62.89027629978955,63.791526899673045,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
4,0,4,[-0.3861111111111111],[0.14907407407407408],[1],[0],[0],[5.187546799890697],0,0,0,0,4,0,4,0,63.80764579959214,,,,,,,,,,,,63.791796900331974,63.80764579959214,0.0002874992787837982,63.80764579959214,63.80764579959214,64.00796800013632,65.79268409963697,65.79268409963697,65.79268409963697,65.80928680021316,68.98017940018326,2,normal,3.187546799890697,[-0.3861111111111111],[0.14907407407407408],[1],[0],[0],[5.187546799890697],68.98058850038797,68.99548729974777,69.29555719997734,70.54736610036343,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
5,0,5,[-0.4],[0.15],[1],[0],[0],[3.5022911997511983],0,0,0,0,5,0,5,0,70.56332099996507,,,,,,,,,,,,70.54764080047607,70.56332099996507,0.000296800397336483,70.56332099996507,70.56332099996507,70.76334150042385,72.54761500004679,72.54761500004679,72.54761500004679,72.56503080017865,74.05072739999741,2,normal,1.5022911997511983,[-0.4],[0.15],[1],[0],[0],[3.5022911997511983],74.05112050008029,74.06632860004902,74.36633090022951,75.50186690036207,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
6,0,6,[-0.41944444444444445],[0.15833333333333333],[1],[0],[0],[1.5170790003612638],0,0,0,0,6,0,6,0,75.51771700009704,,,,,,,,,,,,75.50212640035897,75.51771700009704,0.00027449987828731537,75.51771700009704,75.51771700009704,75.71746619977057,76.00132950022817,76.00132950022817,76.00132950022817,76.01772630028427,77.01991270016879,0.5,normal,1.0170790003612638,[-0.41944444444444445],[0.15833333333333333],[1],[0],[0],[1.5170790003612638],77.02038259990513,77.03524679969996,77.33551510050893,78.35360649973154,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
7,0,7,[-0.38981481481481484],[0.1425925925925926],[1],[0],[0],[2.752765699289739],0,0,0,0,7,0,7,0,78.3694176999852,,,,,,,,,,,,78.35380890034139,78.3694176999852,0.0002117995172739029,78.3694176999852,78.3694176999852,78.5699936999008,80.35476529970765,80.35476529970765,80.35476529970765,80.37152680009604,81.10735700000077,2,normal,0.7527656992897391,[-0.38981481481481484],[0.1425925925925926],[1],[0],[0],[2.752765699289739],81.107789600268,81.12208459991962,81.42225650046021,82.47406429983675,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
8,0,8,[-0.36944444444444446],[0.14351851851851852],[1],[0],[0],[1.1508146999403834],0,0,0,0,8,0,8,0,82.4899869998917,,,,,,,,,,,,82.47433929983526,82.4899869998917,0.0002816002815961838,82.4899869998917,82.4899869998917,82.69006719999015,82.97363760042936,82.97363760042936,82.97363760042936,82.99034390039742,83.6260112002492,0.5,normal,0.6508146999403834,[-0.36944444444444446],[0.14351851851851852],[1],[0],[0],[1.1508146999403834],83.62660029996186,83.64075700007379,83.94097269978374,85.17608040012419,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
