thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,text.started,BREAK.started,key_resp_5.started,text_3.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032787001691758633,0.009084300138056278,0.0031147999688982964,14.111852400004864,[-0.1638888888888889],[0.20185185185185187],[1],[0],[0],[14.107863399665803],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
0,0,0,[-0.21666666666666667],[0.22407407407407406],[1],[0],[0],[3.5804836000315845],[],[],[],[],[],[],,,,0,0,0,0,0,0,0,0,14.126538900192827,,,,,,,,,,,,14.113474300131202,14.126538900192827,0.0014928998425602913,14.126538900192827,14.326693099923432,14.626487200148404,14.626487200148404,14.626487200148404,14.643564799800515,17.69459930015728,0.5,task,3.0804836000315845,[-0.21666666666666667],[0.22407407407407406],[1],[0],[0],[3.5804836000315845],17.694970900192857,17.71007760008797,0.0002684001810848713,18.010051200166345,19.34408830013126,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
1,0,1,[-0.21666666666666667],[0.22407407407407406],[1],[0],[0],[1.299547600094229],[],[],[],[],[],[],,,,0,0,0,0,1,0,1,0,19.360116600058973,,,,,,,,,,,,19.34439679980278,19.360116600058973,0.00024359999224543571,19.360116600058973,19.56009089993313,20.3771576997824,20.3771576997824,20.3771576997824,20.393583599943668,20.64453379996121,1.0294195442116956,task,0.2701280558825334,[-0.21666666666666667],[0.22407407407407406],[1],[0],[0],[1.299547600094229],20.644809499848634,20.659924100153148,0.0001721000298857689,20.960028700064868,22.093508299905807,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
2,0,2,[-0.21666666666666667],[0.22407407407407406],[1],[0],[0],[2.2511423998512328],[],[],[],[],[],[],,,,0,0,0,0,2,0,2,0,22.109825199935585,,,,,,,,,,,,22.09365230007097,22.109825199935585,0.00011350028216838837,22.109825199935585,22.31008750014007,24.0932725998573,24.0932725998573,24.0932725998573,24.10993740009144,24.34552579978481,2,task,0.25114239985123277,[-0.21666666666666667],[0.22407407407407406],[1],[0],[0],[2.2511423998512328],24.345952199772,24.360096300020814,0.00026899995282292366,24.65959439985454,25.560739799868315,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
3,0,3,[-0.2175925925925926],[0.225],[1],[0],[0],[0.8326272000558674],[],[],[],[],[],[],,,,0,0,0,0,3,0,3,0,25.576722799800336,,,,,,,,,,,,25.561061200220138,25.576722799800336,0.00024739978834986687,25.576722799800336,25.77679690020159,26.059500600211322,26.059500600211322,26.059500600211322,26.07669960008934,26.3943528002128,0.5,task,0.33262720005586743,[-0.2175925925925926],[0.225],[1],[0],[0],[0.8326272000558674],26.394712099805474,26.409810999874026,0.00024529965594410896,26.710680900141597,28.06140370015055,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
4,0,4,[-0.2175925925925926],[0.225],[1],[0],[0],[0.9156415001489222],[],[],[],[],[],[],,,,0,0,0,0,4,0,4,0,28.077038299757987,,,,,,,,,,,,28.06175300013274,28.077038299757987,0.0002649002708494663,28.077038299757987,28.276860000099987,,,,,28.97845789976418,2,task,-1.0843584998510778,[-0.2175925925925926],[0.225],[1],[0],[0],[0.9156415001489222],28.97902170009911,28.992327900137752,0.0003125998191535473,29.293779800180346,30.644462899770588,[],[],[],[],[],[],28.992327900137752,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
5,0,5,[-0.2175925925925926],[0.225],[1],[0],[0],[1.3828786998055875],[],[],[],[],[],[],,,,0,0,0,0,5,0,5,0,30.660260899923742,,,,,,,,,,,,30.644783599767834,30.660260899923742,0.00024429988116025925,30.660260899923742,30.860127800144255,,,,,32.02856280002743,2,task,-0.6171213001944125,[-0.2175925925925926],[0.225],[1],[0],[0],[1.3828786998055875],32.029047599993646,32.04345540003851,0.00034380005672574043,32.34336470020935,33.660988399758935,[],[],[],[],[],[],32.04345540003851,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
6,0,6,[-0.2175925925925926],[0.225],[1],[0],[0],[2.4660867997445166],[],[],[],[],[],[],,,,0,0,0,0,6,0,6,0,33.67669470002875,,,,,,,,,,,,33.66131639992818,33.67669470002875,0.0002477997913956642,33.67669470002875,33.876659399829805,35.67664510011673,35.67664510011673,35.67664510011673,35.693545000161976,36.128064800053835,2,task,0.4660867997445166,[-0.2175925925925926],[0.225],[1],[0],[0],[2.4660867997445166],36.12841909984127,36.1428863001056,0.0002373000606894493,36.44349159998819,37.44416239997372,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
7,0,7,[-0.2175925925925926],[0.225],[1],[0],[0],[2.2495543002150953],[],[],[],[],[],[],,,,0,0,0,0,7,0,7,0,37.460081099998206,,,,,,,,,,,,37.44449870008975,37.460081099998206,0.0002611996605992317,37.460081099998206,37.659964699763805,39.443459399975836,39.443459399975836,39.443459399975836,39.46011469978839,39.69477709988132,2,task,0.24955430021509528,[-0.2175925925925926],[0.225],[1],[0],[0],[2.2495543002150953],39.69513309979811,39.71015950012952,0.00022500008344650269,40.01010609976947,40.894200399983674,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
8,0,8,[-0.2175925925925926],[0.225],[1],[0],[0],[0.8666429999284446],[],[],[],[],[],[],,,,0,0,0,0,8,0,8,0,40.91018190002069,,,,,,,,,,,,40.89432159997523,40.91018190002069,8.729984983801842e-05,40.91018190002069,41.10962300002575,41.393486300017685,41.393486300017685,41.393486300017685,41.410063500050455,41.761552799958736,0.5,task,0.3666429999284446,[-0.2175925925925926],[0.225],[1],[0],[0],[0.8666429999284446],41.76189590012655,41.77690819976851,0.0002172999083995819,42.076805300079286,43.344209199771285,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
9,0,9,[-0.2175925925925926],[0.225],[1],[0],[0],[2.316360500175506],[],[],[],[],[],[],,,,0,0,0,0,9,0,9,0,43.36015840014443,,,,,,,,,,,,43.344526399858296,43.36015840014443,0.00024370010942220688,43.36015840014443,43.56007449980825,45.34347049985081,45.34347049985081,45.34347049985081,45.36012450000271,45.66164600010961,2,task,0.3163605001755059,[-0.2175925925925926],[0.225],[1],[0],[0],[2.316360500175506],45.66203110013157,45.676839699968696,0.00025299983099102974,45.976841900032014,47.01100810011849,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
10,0,10,[-0.2175925925925926],[0.225],[1],[0],[0],[0.8992194999009371],[],[],[],[],[],[],,,,0,0,0,0,10,0,10,0,47.02721219975501,,,,,,,,,,,,47.0113854999654,47.02721219975501,0.0003029000945389271,47.02721219975501,47.2273202999495,47.51018099999055,47.51018099999055,47.51018099999055,47.52686659991741,47.91126979980618,0.5,task,0.3992194999009371,[-0.2175925925925926],[0.225],[1],[0],[0],[0.8992194999009371],47.91160580003634,47.926583599764854,0.00023300014436244965,48.22673140000552,49.12774810008705,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
11,0,11,[-0.2175925925925926],[0.225],[1],[0],[0],[2.316428800113499],[],[],[],[],[],[],,,,0,0,0,0,11,0,11,0,49.14329370018095,,,,,,,,,,,,49.12789889983833,49.14329370018095,0.00011020014062523842,49.14329370018095,49.34378860006109,51.14352490007877,51.14352490007877,51.14352490007877,51.159801399800926,51.44508680002764,2,task,0.31642880011349916,[-0.2175925925925926],[0.225],[1],[0],[0],[2.316428800113499],51.445492499973625,51.46066140010953,0.0002560000866651535,51.760094000026584,52.8607807001099,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
12,0,12,[-0.2175925925925926],[0.225],[1],[0],[0],[0.8494405001401901],[],[],[],[],[],[],,,,0,0,0,0,12,0,12,0,52.8767801001668,,,,,,,,,,,,52.86106949998066,52.8767801001668,0.00022479984909296036,52.8767801001668,53.07677680021152,53.37609639996663,53.37609639996663,53.37609639996663,53.39268589997664,53.71124269999564,0.5,task,0.3494405001401901,[-0.2175925925925926],[0.225],[1],[0],[0],[0.8494405001401901],53.7118501001969,53.726650999858975,0.0004703998565673828,54.0263113998808,55.17742050020024,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
13,0,13,[-0.2175925925925926],[0.225],[1],[0],[0],[2.283073500264436],[],[],[],[],[],[],,,,0,0,0,0,13,0,13,0,55.19328049989417,,,,,,,,,,,,55.17782530002296,55.19328049989417,0.00024739978834986687,55.19328049989417,55.39317509997636,57.193530099932104,57.193530099932104,57.193530099932104,57.210175300017,57.46168870013207,2,task,0.283073500264436,[-0.2175925925925926],[0.225],[1],[0],[0],[2.283073500264436],57.462223399896175,57.476873099803925,0.000403599813580513,57.77683789981529,59.09437689976767,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
14,0,14,[-0.2175925925925926],[0.225],[1],[0],[0],[2.2824214003048837],[],[],[],[],[],[],,,,0,0,0,0,14,0,14,0,59.11007340019569,,,,,,,,,,,,59.094677600078285,59.11007340019569,0.00023010000586509705,59.11007340019569,59.31022269977257,61.09357019979507,61.09357019979507,61.09357019979507,61.11014259979129,61.37781920004636,2,task,0.2824214003048837,[-0.2175925925925926],[0.225],[1],[0],[0],[2.2824214003048837],61.37827609991655,61.39349769987166,0.0003223000094294548,61.69343539979309,62.694243399892,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
15,0,15,[-0.2175925925925926],[0.225],[1],[0],[0],[2.3329566000029445],[],[],[],[],[],[],,,,0,0,0,0,15,0,15,0,62.71017410000786,,,,,,,,,,,,62.694555500056595,62.71017410000786,0.0002383999526500702,62.71017410000786,62.9102070000954,64.69346529990435,64.69346529990435,64.69346529990435,64.71026680013165,65.0285140001215,2,task,0.33295660000294447,[-0.2175925925925926],[0.225],[1],[0],[0],[2.3329566000029445],65.02896679984406,65.04345919983461,0.0003432999365031719,65.3437055000104,66.29356440017,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
16,0,16,[-0.2175925925925926],[0.225],[1],[0],[0],[0.8836400001309812],[],[],[],[],[],[],,,,0,0,0,0,16,0,16,0,66.31024410016835,,,,,,,,,,,,66.29381699999794,66.31024410016835,0.00019490020349621773,66.31024410016835,66.51072379993275,66.79354720003903,66.79354720003903,66.79354720003903,66.81017109984532,67.17811470013112,0.5,task,0.3836400001309812,[-0.2175925925925926],[0.225],[1],[0],[0],[0.8836400001309812],67.17852699989453,67.19291910016909,0.00028330041095614433,67.49340690020472,68.52763140015304,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
17,0,17,[-0.2175925925925926],[0.225],[1],[0],[0],[2.2831347002647817],[],[],[],[],[],[],,,,0,0,0,0,17,0,17,0,68.54349360009655,,,,,,,,,,,,68.52795629994944,68.54349360009655,0.00024820026010274887,68.54349360009655,68.74347010022029,70.52683009998873,70.52683009998873,70.52683009998873,70.54359269980341,70.81192630017176,2,task,0.2831347002647817,[-0.2175925925925926],[0.225],[1],[0],[0],[2.2831347002647817],70.81244480004534,70.82702419999987,0.0003682998940348625,71.12679720018059,72.27723859995604,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
18,0,18,[-0.2175925925925926],[0.225],[1],[0],[0],[0.8002514000982046],[],[],[],[],[],[],,,,0,0,0,0,18,0,18,0,72.29344080016017,,,,,,,,,,,,72.27747480012476,72.29344080016017,0.00017850007861852646,72.29344080016017,72.49343550018966,72.7768481997773,72.7768481997773,72.7768481997773,72.79351009987295,73.07846509991214,0.5,task,0.3002514000982046,[-0.2175925925925926],[0.225],[1],[0],[0],[0.8002514000982046],73.0789391999133,73.0936691001989,0.000336300116032362,73.39372950000688,74.39445130014792,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
19,0,19,[-0.2175925925925926],[0.225],[1],[0],[0],[2.2659942000173032],[],[],[],[],[],[],,,,0,0,0,0,19,0,19,0,74.41040970012546,,,,,,,,,,,,74.39478710014373,74.41040970012546,0.00025559961795806885,74.41040970012546,74.6101186000742,76.39369879988953,76.39369879988953,76.39369879988953,76.41014670021832,76.66158269997686,2,task,0.26599420001730323,[-0.2175925925925926],[0.225],[1],[0],[0],[2.2659942000173032],76.66206770017743,76.67686739983037,0.0003418000414967537,76.97682440001518,77.9941841000691,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
20,0,20,[-0.2175925925925926],[0.225],[1],[0],[0],[0.8163924999535084],[],[],[],[],[],[],,,,0,0,0,0,20,0,20,0,78.01014079991728,,,,,,,,,,,,77.99449060019106,78.01014079991728,0.00023399991914629936,78.01014079991728,78.21015959978104,78.49337889999151,78.49337889999151,78.49337889999151,78.51010379986838,78.81170250009745,0.5,task,0.3163924999535084,[-0.2175925925925926],[0.225],[1],[0],[0],[0.8163924999535084],78.81221969984472,78.82672569993883,0.0003708996810019016,79.12684709997848,80.26103790011257,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
21,0,21,[-0.2175925925925926],[0.225],[1],[0],[0],[2.2989312997087836],[],[],[],[],[],[],,,,0,0,0,0,21,0,21,0,80.27694249991328,,,,,,,,,,,,80.2615820998326,80.27694249991328,0.0004672999493777752,80.27694249991328,80.4768464001827,82.2768807997927,82.2768807997927,82.2768807997927,82.29353650007397,82.56146770017222,2,task,0.2989312997087836,[-0.2175925925925926],[0.225],[1],[0],[0],[2.2989312997087836],82.56204169988632,82.57694579986855,0.00039590010419487953,82.87690280005336,84.24434129986912,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
22,0,22,[-0.2175925925925926],[0.225],[1],[0],[0],[2.2497657998465],[],[],[],[],[],[],,,,0,0,0,0,22,0,22,0,84.26036129985005,,,,,,,,,,,,84.2446423000656,84.26036129985005,0.00022900011390447617,84.26036129985005,84.46015249984339,86.24365419987589,86.24365419987589,86.24365419987589,86.26028050016612,86.4952295999974,2,task,0.24976579984650016,[-0.2175925925925926],[0.225],[1],[0],[0],[2.2497657998465],86.49566659983248,86.51044260011986,0.00030429987236857414,86.81015910021961,87.71090709976852,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
23,0,23,[-0.2175925925925926],[0.225],[1],[0],[0],[0.8664941997267306],[],[],[],[],[],[],,,,0,0,0,0,23,0,23,0,87.72677849978209,,,,,,,,,,,,87.71123840007931,87.72677849978209,0.00025849975645542145,87.72677849978209,87.92678429977968,88.21028110012412,88.21028110012412,88.21028110012412,88.22678680019453,88.57884240010753,0.5,task,0.3664941997267306,[-0.2175925925925926],[0.225],[1],[0],[0],[0.8664941997267306],88.5793082001619,88.59366969997063,0.00027860002592206,88.89352979976684,89.84418989997357,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
24,0,24,[-0.2175925925925926],[0.225],[1],[0],[0],[1.0815870999358594],[],[],[],[],[],[],,,,0,0,0,0,24,0,24,0,89.86017559980974,,,,,,,,,,,,89.84452569996938,89.86017559980974,0.0002880999818444252,89.86017559980974,90.0594779998064,90.35938270017505,90.35938270017505,90.35938270017505,90.37632239982486,90.92653409997001,0.5,task,0.5815870999358594,[-0.2175925925925926],[0.225],[1],[0],[0],[1.0815870999358594],90.92671649996191,90.94310380006209,0.00012730015441775322,91.24343809997663,92.31074990006164,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
25,0,25,[-0.2175925925925926],[0.225],[1],[0],[0],[2.2826402001082897],[],[],[],[],[],[],,,,0,0,0,0,25,0,25,0,92.32675429992378,,,,,,,,,,,,92.31106059998274,92.32675429992378,0.00023610005155205727,92.32675429992378,92.52687120018527,94.31017779977992,94.31017779977992,94.31017779977992,94.32689449982718,94.594318700023,2,task,0.2826402001082897,[-0.2175925925925926],[0.225],[1],[0],[0],[2.2826402001082897],94.59499609982595,94.61015910003334,0.0005724998190999031,94.91023690020666,96.12788259983063,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
26,0,26,[-0.2175925925925926],[0.225],[1],[0],[0],[2.315950999967754],[],[],[],[],[],[],,,,0,0,0,0,26,0,26,0,96.14357839990407,,,,,,,,,,,,96.12820979999378,96.14357839990407,0.00025560008361935616,96.14357839990407,96.34348470019177,98.14350580004975,98.14350580004975,98.14350580004975,98.16025539999828,98.44488469976932,2,task,0.3159509999677539,[-0.2175925925925926],[0.225],[1],[0],[0],[2.315950999967754],98.44528590003029,98.46029049996287,0.0002545001916587353,98.76018049987033,99.99425490014255,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
27,0,27,[-0.4444444444444444],[-0.11851851851851852],[1],[0],[0],[2.2995457998476923],[],[],[],[],[],[],,,,0,0,0,0,27,0,27,0,100.0105054997839,,,,,,,,,,,,99.99455519998446,100.0105054997839,0.00022690044716000557,100.0105054997839,100.21031349990517,101.9937125002034,101.9937125002034,101.9937125002034,102.01029000012204,102.29474590020254,2,task,0.29954579984769225,[-0.4444444444444444],[-0.11851851851851852],[1],[0],[0],[2.2995457998476923],102.29508950002491,102.31031520012766,0.00022280029952526093,102.61016790010035,103.7102243998088,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
28,0,28,[-0.4444444444444444],[-0.11851851851851852],[1],[0],[0],[0.8500892999581993],[],[],[],[],[],[],,,,0,0,0,0,28,0,28,0,103.72606319980696,,,,,,,,,,,,103.71038099983707,103.72606319980696,8.83997417986393e-05,103.72606319980696,103.92690119985491,104.21019819984213,104.21019819984213,104.21019819984213,104.22705210000277,104.56124590011314,0.5,task,0.35008929995819926,[-0.4444444444444444],[-0.11851851851851852],[1],[0],[0],[0.8500892999581993],104.56160529982299,104.57688889978454,0.0002481001429259777,104.8768164999783,105.99434910016134,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
29,0,29,[-0.4444444444444444],[-0.11851851851851852],[1],[0],[0],[0.8494782000780106],[],[],[],[],[],[],,,,0,0,0,0,29,0,29,0,106.01023009978235,,,,,,,,,,,,105.9946921998635,106.01023009978235,0.00027120020240545273,106.01023009978235,106.21031810017303,106.51022870000452,106.51022870000452,106.51022870000452,106.52688479982316,106.8449689000845,0.5,task,0.34947820007801056,[-0.4444444444444444],[-0.11851851851851852],[1],[0],[0],[0.8494782000780106],106.84546880004928,106.86020709993318,0.00035319989547133446,107.16023139981553,108.39416899997741,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
30,0,30,[-0.4444444444444444],[-0.11851851851851852],[1],[0],[0],[0.799025499727577],[],[],[],[],[],[],,,,0,0,0,0,30,0,30,0,108.41019099997357,,,,,,,,,,,,108.3944685999304,108.41019099997357,0.00023029977455735207,108.41019099997357,108.61033019982278,108.89356449991465,108.89356449991465,108.89356449991465,108.90981050021946,109.19402590021491,0.5,task,0.29902549972757697,[-0.4444444444444444],[-0.11851851851851852],[1],[0],[0],[0.799025499727577],109.19432959984988,109.21018029982224,0.00021689990535378456,109.51015349989757,110.76109899999574,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
31,0,31,[-0.4444444444444444],[-0.11851851851851852],[1],[0],[0],[2.316351799760014],[],[],[],[],[],[],,,,0,0,0,0,31,0,31,0,110.7767881997861,,,,,,,,,,,,110.7614255999215,110.7767881997861,0.000241799745708704,110.7767881997861,110.97681999998167,112.7605484998785,112.7605484998785,112.7605484998785,112.77707430021837,113.07862060004845,2,task,0.3163517997600138,[-0.4444444444444444],[-0.11851851851851852],[1],[0],[0],[2.316351799760014],113.07911829976365,113.09369720006362,0.0003202003426849842,113.39351540012285,114.34439620003104,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
32,0,32,[-0.4444444444444444],[-0.11851851851851852],[1],[0],[0],[2.283446699846536],[],[],[],[],[],[],,,,0,0,0,0,32,0,32,0,114.36039450019598,,,,,,,,,,,,114.34471279988065,114.36039450019598,0.0002450002357363701,114.36039450019598,114.56023760000244,116.34369250014424,116.34369250014424,116.34369250014424,116.36048169992864,116.62899609981105,2,task,0.2834466998465359,[-0.4444444444444444],[-0.11851851851851852],[1],[0],[0],[2.283446699846536],116.62945730006322,116.64364469982684,0.0002826000563800335,116.94329799991101,117.86133700003847,[],[],[],[],[],[],,,,,,,,,,461212,001,2025-02-28_09h50.10.880,Foreperiod_task,2024.2.1post4,60.14697511920976,2025-02-28 09h50.31.669052 -0800,
