thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,BREAK.started,key_resp_5.started,text_3.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002611699979752302,0.007072600070387125,0.002338800113648176,3.502113100141287,[-0.3525],[0.095625],[1],[0],[0],[3.498579500010237],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
0,0,0,[-0.3525],[0.095625],[1],[0],[0],[2.4070642001461238],[],[],[],[],[],[],,,,0,0,0,0,0,0,0,0,3.511941900011152,,,,,,,,,,,,3.505321300122887,3.511941900011152,0.0030816998332738876,3.511941900011152,3.7119366000406444,5.500904600135982,5.500904600135982,5.500904600135982,5.512006900040433,5.9128876000177115,2,task,0.40706420014612377,[-0.3525],[0.095625],[1],[0],[0],[2.4070642001461238],5.913008600007743,5.922913300106302,5.469983443617821e-05,6.222836700035259,7.478809399995953,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
1,0,1,[-0.3525],[0.095625],[1],[0],[0],[2.400529900100082],[],[],[],[],[],[],,,,0,0,0,0,1,0,1,0,7.489683800144121,,,,,,,,,,,,7.478973600082099,7.489683800144121,0.00012330012395977974,7.489683800144121,7.689627500018105,9.478697699960321,9.478697699960321,9.478697699960321,9.489793800050393,9.880298200063407,2,task,0.40052990010008216,[-0.3525],[0.095625],[1],[0],[0],[2.400529900100082],9.88049040012993,9.889605900039896,8.670007809996605e-05,10.189758599968627,11.079427800141275,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
2,0,2,[-0.3525],[0.095625],[1],[0],[0],[2.389128000009805],[],[],[],[],[],[],,,,0,0,0,0,2,0,2,0,11.089399900054559,,,,,,,,,,,,11.079695800086483,11.089399900054559,0.00020210002548992634,11.089399900054559,11.289423400070518,13.078703599981964,13.078703599981964,13.078703599981964,13.08980379998684,13.469721399946138,2,task,0.38912800000980496,[-0.3525],[0.095625],[1],[0],[0],[2.389128000009805],13.46992400009185,13.478437500074506,0.00011010002344846725,13.778391500003636,14.734798500081524,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
3,0,3,[-0.3525],[0.095625],[1],[0],[0],[2.3781483999919146],[],[],[],[],[],[],,,,0,0,0,0,3,0,3,0,14.745142200030386,,,,,,,,,,,,14.735100700054318,14.745142200030386,0.0002093999646604061,14.745142200030386,14.94513380015269,16.73414189997129,16.73414189997129,16.73414189997129,16.74533629999496,17.114233300089836,2,task,0.37814839999191463,[-0.3525],[0.095625],[1],[0],[0],[2.3781483999919146],17.114449700107798,17.12272660015151,9.499979205429554e-05,17.42274870001711,18.623477699933574,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
4,0,4,[-0.3525],[0.095625],[1],[0],[0],[2.4105461998842657],[],[],[],[],[],[],,,,0,0,0,0,4,0,4,0,18.633954300079495,,,,,,,,,,,,18.623830700060353,18.633954300079495,0.00027270009741187096,18.633954300079495,18.83382900012657,20.623045300133526,20.623045300133526,20.623045300133526,20.634272099938244,21.035333400126547,2,task,0.41054619988426566,[-0.3525],[0.095625],[1],[0],[0],[2.4105461998842657],21.035600800067186,21.045026700012386,0.00012400001287460327,21.345109000103548,22.25737649993971,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
5,0,5,[-0.3525],[0.095625],[1],[0],[0],[2.3874062998220325],[],[],[],[],[],[],,,,0,0,0,0,5,0,5,0,22.26727920002304,,,,,,,,,,,,22.257686600089073,22.26727920002304,0.0002326001413166523,22.26727920002304,22.46733479993418,24.256334400037304,24.256334400037304,24.256334400037304,24.267423399956897,24.645794000010937,2,task,0.38740629982203245,[-0.3525],[0.095625],[1],[0],[0],[2.3874062998220325],24.645985800074413,24.656030300073326,8.909986354410648e-05,24.95604269998148,26.068081400124356,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
6,0,6,[-0.3525],[0.095625],[1],[0],[0],[2.3885841998271644],[],[],[],[],[],[],,,,0,0,0,0,6,0,6,0,26.078316800063476,,,,,,,,,,,,26.068430100101978,26.078316800063476,0.0002802000381052494,26.078316800063476,26.27832920011133,28.067325900075957,28.067325900075957,28.067325900075957,28.07857200014405,28.45791590004228,2,task,0.3885841998271644,[-0.3525],[0.095625],[1],[0],[0],[2.3885841998271644],28.45815289998427,28.46697870013304,0.00011179991997778416,28.767166400095448,30.023531900020316,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
7,0,7,[-0.3525],[0.095625],[1],[0],[0],[2.332954900106415],[],[],[],[],[],[],,,,0,0,0,0,7,0,7,0,30.033948099939153,,,,,,,,,,,,30.02387719997205,30.033948099939153,0.00024159997701644897,30.033948099939153,30.233936000149697,32.02164119994268,32.02164119994268,32.02164119994268,32.03288329998031,32.35770809999667,2,task,0.33295490010641515,[-0.3525],[0.095625],[1],[0],[0],[2.332954900106415],32.35799980000593,32.36707299994305,0.00012280000373721123,32.66712290002033,33.64597890013829,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
8,0,8,[-0.3525],[0.095625],[1],[0],[0],[1.7993244000244886],[],[],[],[],[],[],,,,0,0,0,0,8,0,8,0,33.65593479992822,,,,,,,,,,,,33.64634390012361,33.65593479992822,0.00025489996187388897,33.65593479992822,33.855768100125715,35.056250400142744,35.056250400142744,35.056250400142744,35.06716220011003,35.44645310007036,1.4063408206596413,task,0.3929835793648473,[-0.3525],[0.095625],[1],[0],[0],[1.7993244000244886],35.446650499943644,35.45591669995338,8.839997462928295e-05,35.7558206000831,37.045661699958146,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
9,0,9,[-0.3525],[0.095625],[1],[0],[0],[0.9769156000111252],[],[],[],[],[],[],,,,0,0,0,0,9,0,9,0,37.05584489996545,,,,,,,,,,,,37.04601339995861,37.05584489996545,0.00031320005655288696,37.05584489996545,37.25583370006643,37.545103000011295,37.545103000011295,37.545103000011295,37.556118099950254,38.0239079000894,0.5,task,0.4769156000111252,[-0.3525],[0.095625],[1],[0],[0],[0.9769156000111252],38.024158500134945,38.033794099930674,0.00010879989713430405,38.33366150013171,39.31222610012628,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
0,0,0,,,,,,,,,,,,,space,1.7826555999927223,None,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.31675180001184,39.376460999948904,39.376460999948904,41.16866700001992,space,1.7826555999927223,None,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
0,0,0,[-0.3525],[0.095625],[1],[0],[0],[1.2216809000819921],[],[],[],[],[],[],,,,1,0,1,0,0,0,0,0,41.17800520011224,,,,,,,,,,,,41.169199800118804,41.17800520011224,0.0005068001337349415,41.17800520011224,41.3781799999997,41.66721699992195,41.66721699992195,41.66721699992195,41.67820890014991,42.39174380013719,0.5,task,0.7216809000819921,[-0.3525],[0.095625],[1],[0],[0],[1.2216809000819921],42.391958200139925,42.40017449995503,9.760004468262196e-05,42.700155599974096,43.92224820004776,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
1,0,1,[-0.3525],[0.095625],[1],[0],[0],[0.94535499997437],[],[],[],[],[],[],,,,1,0,1,0,1,0,1,0,43.93246980011463,,,,,,,,,,,,43.922566200140864,43.93246980011463,0.00024179997853934765,43.93246980011463,44.13351540011354,44.42274129996076,44.42274129996076,44.42274129996076,44.43385050003417,44.8690095001366,0.5,task,0.44535499997437,[-0.3525],[0.095625],[1],[0],[0],[0.94535499997437],44.86927060014568,44.878038899973035,0.00012740003876388073,45.17808570014313,46.5457250000909,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
2,0,2,[-0.3525],[0.095625],[1],[0],[0],[2.199420099845156],[],[],[],[],[],[],,,,1,0,1,0,2,0,2,0,46.55586210009642,,,,,,,,,,,,46.54602360003628,46.55586210009642,0.000219699926674366,46.55586210009642,46.75569560006261,48.54455480002798,48.54455480002798,48.54455480002798,48.555738100083545,48.746048300061375,2,task,0.19942009984515607,[-0.3525],[0.095625],[1],[0],[0],[2.199420099845156],48.746228999923915,48.755475900135934,7.349997758865356e-05,49.05573879997246,49.97849850007333,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
3,0,3,[-0.3525],[0.095625],[1],[0],[0],[1.7999607000965625],[],[],[],[],[],[],,,,1,0,1,0,3,0,3,0,49.9889351001475,,,,,,,,,,,,49.97876959992573,49.9889351001475,0.00023150001652538776,49.9889351001475,50.18912520003505,51.27800610009581,51.27800610009581,51.27800610009581,51.28919839998707,51.77955799992196,1.2996431671545499,task,0.5003175329420126,[-0.3525],[0.095625],[1],[0],[0],[1.7999607000965625],51.779739200137556,51.788811299949884,8.319993503391743e-05,52.089052400086075,53.34566939994693,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
4,0,4,[-0.3525],[0.095625],[1],[0],[0],[1.121989900013432],[],[],[],[],[],[],,,,1,0,1,0,4,0,4,0,53.35586010012776,,,,,,,,,,,,53.34600790007971,53.35586010012776,0.0002609000075608492,53.35586010012776,53.555745700141415,53.844961000140756,53.844961000140756,53.844961000140756,53.85589160001837,54.46866869996302,0.5,task,0.6219899000134319,[-0.3525],[0.095625],[1],[0],[0],[1.121989900013432],54.46883919998072,54.477855599951,7.440010085701942e-05,54.778041400015354,55.933117900043726,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
5,0,5,[-0.3525],[0.095625],[1],[0],[0],[1.167675499804318],[],[],[],[],[],[],,,,1,0,1,0,5,0,5,0,55.943315600045025,,,,,,,,,,,,55.9334525000304,55.943315600045025,0.00025129993446171284,55.943315600045025,56.144425600068644,56.43347749998793,56.43347749998793,56.43347749998793,56.44484170014039,57.10214590001851,0.5,task,0.667675499804318,[-0.3525],[0.095625],[1],[0],[0],[1.167675499804318],57.102367900079116,57.11105900001712,9.549991227686405e-05,57.411243699956685,58.789921700023115,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
6,0,6,[-0.3525],[0.095625],[1],[0],[0],[0.8552522000391036],[],[],[],[],[],[],,,,1,0,1,0,6,0,6,0,58.799844400025904,,,,,,,,,,,,58.790242600021884,58.799844400025904,0.00024159997701644897,58.799844400025904,59.00011339993216,59.28917789994739,59.28917789994739,59.28917789994739,59.30026370007545,59.64653309993446,0.5,task,0.3552522000391036,[-0.3525],[0.095625],[1],[0],[0],[0.8552522000391036],59.64688499993645,59.65554290008731,0.00024099997244775295,59.95450620003976,61.06718960008584,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
7,0,7,[-0.3525],[0.095625],[1],[0],[0],[3.4673199001699686],[],[],[],[],[],[],,,,1,0,1,0,7,0,7,0,61.07774370000698,,,,,,,,,,,,61.06732250005007,61.07774370000698,9.949994273483753e-05,61.07774370000698,61.27787770004943,63.06690030009486,63.06690030009486,63.06690030009486,63.07795840012841,64.53557710000314,2,task,1.4673199001699686,[-0.3525],[0.095625],[1],[0],[0],[3.4673199001699686],64.53584869997576,64.54434100002982,0.00012560002505779266,64.84434320009314,66.16690890002064,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
8,0,8,[-0.3525],[0.095625],[1],[0],[0],[2.567142999963835],[],[],[],[],[],[],,,,1,0,1,0,8,0,8,0,66.17772409995086,,,,,,,,,,,,66.16713820002042,66.17772409995086,0.0001705000177025795,66.17772409995086,66.37778540002182,68.16672970005311,68.16672970005311,68.16672970005311,68.1779295001179,68.73516519996338,2,task,0.5671429999638349,[-0.3525],[0.095625],[1],[0],[0],[2.567142999963835],68.73540830006823,68.74434889992699,0.00010950001887977123,69.04438790003769,70.156318299938,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
9,0,9,[-0.3525],[0.095625],[1],[0],[0],[1.3883566001895815],[],[],[],[],[],[],,,,1,0,1,0,9,0,9,0,70.16653329995461,,,,,,,,,,,,70.15663530002348,70.16653329995461,0.0002546000760048628,70.16653329995461,70.36627210001461,70.6556824001018,70.6556824001018,70.6556824001018,70.66671720007434,71.54568110010587,0.5,task,0.8883566001895815,[-0.3525],[0.095625],[1],[0],[0],[1.3883566001895815],71.54581709997728,71.55536009999923,7.25998543202877e-05,71.85523350001313,72.85635920008644,[],[],[],[],[],[],,,,,,,,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
1,0,1,,,,,,,,,,,,,space,1.2611079001799226,None,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.85917049995624,72.86650050012395,72.86650050012395,74.13416270003654,space,1.2611079001799226,None,,,819959,001,2025-02-03_07h53.57.787,Foreperiod_task,2024.2.4,89.94747050760718,2025-02-03 07h54.05.421516 -0800,
