thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.002798900008201599,0.016176500357687473,0.002657799981534481,0.9352221000008285,[-0.10185185185185185],[0.08703703703703704],[1],[0],[0],[0.9317193999886513],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916353,001,2025-02-28_09h09.05.679,Foreperiod_task,2024.2.1post4,60.13225478217193,2025-02-28 09h09.08.665390 -0800,
0,0,0,[-0.1037037037037037],[0.09444444444444444],[1],[0],[0],[1.2306065000593662],[],[],[],[],[],[],0,0,0,0,0,0,0,0,0.949951000045985,,,,,,,,,,,,0.9369993000291288,0.949951000045985,0.0016572000458836555,0.949951000045985,1.1501513002440333,1.450194800272584,1.450194800272584,1.450194800272584,1.4668380003422499,2.168424000032246,0.5,task,0.7306065000593662,[-0.1037037037037037],[0.09444444444444444],[1],[0],[0],[1.2306065000593662],2.1688266000710428,2.1836694004014134,0.00025109993293881416,2.4833146003074944,3.6010822001844645,[],[],[],[],[],[],916353,001,2025-02-28_09h09.05.679,Foreperiod_task,2024.2.1post4,60.13225478217193,2025-02-28 09h09.08.665390 -0800,
1,0,1,[-0.1037037037037037],[0.09537037037037037],[1],[0],[0],[2.3661998002789915],[],[],[],[],[],[],0,0,0,0,1,0,1,0,3.616839800029993,,,,,,,,,,,,3.601408400107175,3.616839800029993,0.00025060027837753296,3.616839800029993,3.8169079003855586,5.616784400306642,5.616784400306642,5.616784400306642,5.63331440044567,5.968403600156307,2,task,0.36619980027899146,[-0.1037037037037037],[0.09537037037037037],[1],[0],[0],[2.3661998002789915],5.96879420010373,5.983555800281465,0.00024659978225827217,6.283730800263584,7.183477300219238,[],[],[],[],[],[],916353,001,2025-02-28_09h09.05.679,Foreperiod_task,2024.2.1post4,60.13225478217193,2025-02-28 09h09.08.665390 -0800,
2,0,2,[-0.1037037037037037],[0.09537037037037037],[1],[0],[0],[1.1837215996347368],[],[],[],[],[],[],0,0,0,0,2,0,2,0,7.200064900331199,,,,,,,,,,,,7.183590900152922,7.200064900331199,8.689984679222107e-05,7.200064900331199,7.4003349002450705,7.683701200410724,7.683701200410724,7.683701200410724,7.70026610000059,8.36811580043286,0.5,task,0.6837215996347368,[-0.1037037037037037],[0.09537037037037037],[1],[0],[0],[1.1837215996347368],8.368589100427926,8.383806900121272,0.00029659969732165337,8.683504100423306,9.93444410013035,[],[],[],[],[],[],916353,001,2025-02-28_09h09.05.679,Foreperiod_task,2024.2.1post4,60.13225478217193,2025-02-28 09h09.08.665390 -0800,
3,0,3,[-0.1037037037037037],[0.09537037037037037],[1],[0],[0],[2.416446499992162],[],[],[],[],[],[],0,0,0,0,3,0,3,0,9.95033030025661,,,,,,,,,,,,9.934752500150353,9.95033030025661,0.00022829975932836533,9.95033030025661,10.150122200138867,11.934234200045466,11.934234200045466,11.934234200045466,11.950718200299889,12.352272300049663,2,task,0.416446499992162,[-0.1037037037037037],[0.09537037037037037],[1],[0],[0],[2.416446499992162],12.352809600066394,12.36693250015378,0.0003991001285612583,12.666858900338411,13.917774600442499,[],[],[],[],[],[],916353,001,2025-02-28_09h09.05.679,Foreperiod_task,2024.2.1post4,60.13225478217193,2025-02-28 09h09.08.665390 -0800,
4,0,4,[-0.1037037037037037],[0.09537037037037037],[1],[0],[0],[2.866163999773562],[],[],[],[],[],[],0,0,0,0,4,0,4,0,13.93375760037452,,,,,,,,,,,,13.91810130001977,13.93375760037452,0.00025189993903040886,13.93375760037452,14.133579100016505,15.916964900214225,15.916964900214225,15.916964900214225,15.933534500189126,16.785041100345552,2,task,0.866163999773562,[-0.1037037037037037],[0.09537037037037037],[1],[0],[0],[2.866163999773562],16.78554530022666,16.80031230021268,0.00037659984081983566,17.100498900283128,18.117574700154364,[],[],[],[],[],[],916353,001,2025-02-28_09h09.05.679,Foreperiod_task,2024.2.1post4,60.13225478217193,2025-02-28 09h09.08.665390 -0800,
5,0,5,[-0.1037037037037037],[0.09537037037037037],[1],[0],[0],[3.3668049997650087],[],[],[],[],[],[],0,0,0,0,5,0,5,0,18.133643900044262,,,,,,,,,,,,18.11785070039332,18.133643900044262,0.0002129003405570984,18.133643900044262,18.333635600283742,20.117117500398308,20.117117500398308,20.117117500398308,20.133671500254422,21.485460800118744,2,task,1.3668049997650087,[-0.1037037037037037],[0.09537037037037037],[1],[0],[0],[3.3668049997650087],21.485938700381666,21.50046190014109,0.0003717998042702675,21.80025800038129,22.885883200448006,[],[],[],[],[],[],916353,001,2025-02-28_09h09.05.679,Foreperiod_task,2024.2.1post4,60.13225478217193,2025-02-28 09h09.08.665390 -0800,
6,0,6,[-0.1037037037037037],[0.0962962962962963],[1],[0],[0],[2.481257999781519],[],[],[],[],[],[],0,0,0,0,6,0,6,0,22.900840900372714,,,,,,,,,,,,22.8863422004506,22.900840900372714,0.00034089991822838783,22.900840900372714,23.100271600298584,24.900322000030428,24.900322000030428,24.900322000030428,24.917167200241238,25.36847720015794,2,task,0.4812579997815192,[-0.1037037037037037],[0.0962962962962963],[1],[0],[0],[2.481257999781519],25.36912660021335,25.383703800383955,0.0005051000043749809,25.683565700426698,26.851410400122404,[],[],[],[],[],[],916353,001,2025-02-28_09h09.05.679,Foreperiod_task,2024.2.1post4,60.13225478217193,2025-02-28 09h09.08.665390 -0800,
7,0,7,[-0.1037037037037037],[0.0962962962962963],[1],[0],[0],[2.782767300028354],[],[],[],[],[],[],0,0,0,0,7,0,7,0,26.866971200332046,,,,,,,,,,,,26.8518136003986,26.866971200332046,0.0002763001248240471,26.866971200332046,27.067002300173044,28.866972000338137,28.866972000338137,28.866972000338137,28.883859800174832,29.635396200232208,2,task,0.7827673000283539,[-0.1037037037037037],[0.0962962962962963],[1],[0],[0],[2.782767300028354],29.635937800165266,29.650351900141686,0.0003949003294110298,29.950258400291204,30.9847308001481,[],[],[],[],[],[],916353,001,2025-02-28_09h09.05.679,Foreperiod_task,2024.2.1post4,60.13225478217193,2025-02-28 09h09.08.665390 -0800,
8,0,8,,,,,,,,,,,,,,,,,8,0,8,0,31.00083510018885,,,,,,,,,,,,30.985056100413203,31.00083510018885,0.0002478999085724354,31.00083510018885,31.20035530021414,31.50030040042475,31.50030040042475,31.50030040042475,31.51697750017047,33.01814530044794,0.5,task,1.532502899877727,[-0.1037037037037037],[0.0962962962962963],[1],[0],[0],[2.032502899877727],33.01854100031778,33.03365990007296,0.0002833995968103409,33.33369200024754,,,,,,,,,,,,,,,
