thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,AVG.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Period.stopped,Photodiode_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.0030188998207449913,0.014038699679076672,0.0027566999197006226,12.309194199740887,[-0.19166666666666668],[0.12407407407407407],[1],[0],[0],[12.30554929934442],,,,,,,,,,,,,,,,,,,,,,,,,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
0,0,0,[-0.19074074074074074],[0.1287037037037037],[1],[0],[0],[2.283082500100136],0,0,0,0,0,0,0,0,12.324508300051093,,,,,,,,,,,,12.310368400067091,12.324508300051093,0.001075100153684616,12.324508300051093,12.324508300051093,12.524889799766243,14.31002669967711,14.31002669967711,14.31002669967711,14.326672700233757,14.594135999679565,2,normal,0.2830825001001358,[-0.19074074074074074],[0.1287037037037037],[1],[0],[0],[2.283082500100136],14.594624700024724,14.610202400013804,15.928736300207675,,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
1,0,1,[-0.19074074074074074],[0.1287037037037037],[1],[0],[0],[2.2341959001496434],0,0,0,0,1,0,1,0,15.944649099372327,,,,,,,,,,,,15.929000600241125,15.944649099372327,0.0002720002084970474,15.944649099372327,15.944649099372327,16.144719099625945,17.929541199468076,17.929541199468076,17.929541199468076,17.946179499849677,18.16399830020964,2,normal,0.23419590014964342,[-0.19074074074074074],[0.1287037037037037],[1],[0],[0],[2.2341959001496434],18.164412999525666,18.179529099725187,19.480299100279808,,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
2,0,2,[-0.19722222222222222],[0.1287037037037037],[1],[0],[0],[2.353127400390804],0,0,0,0,2,0,2,0,19.497346200048923,,,,,,,,,,,,19.480406999588013,19.497346200048923,0.00011019967496395111,19.497346200048923,19.497346200048923,19.697696999646723,21.48160840012133,21.48160840012133,21.48160840012133,21.498848900198936,21.834225899539888,2,normal,0.3531274003908038,[-0.19722222222222222],[0.1287037037037037],[1],[0],[0],[2.353127400390804],21.834658599458635,21.8494969997555,23.06780489999801,,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
3,0,3,[-0.19907407407407407],[0.1287037037037037],[1],[0],[0],[1.0669738994911313],0,0,0,0,3,0,3,0,23.08387339953333,,,,,,,,,,,,23.068072400055826,23.08387339953333,0.00030200090259313583,23.08387339953333,23.08387339953333,23.284210300073028,23.56770549993962,23.56770549993962,23.56770549993962,23.584557599388063,24.135806700214744,0.5,normal,0.5669738994911313,[-0.19907407407407407],[0.1287037037037037],[1],[0],[0],[1.0669738994911313],24.136352599598467,24.151057000271976,25.353230600245297,24.652079099789262,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
4,0,4,[-0.19907407407407407],[0.1287037037037037],[1],[0],[0],[0.8498976994305849],0,0,0,0,4,0,4,0,25.368717500008643,,,,,,,,,,,,25.353536900132895,25.368717500008643,0.0003099003806710243,25.368717500008643,25.368717500008643,25.569137799553573,25.852782499976456,25.852782499976456,25.852782499976456,25.869411299936473,26.204182899557054,0.5,normal,0.3498976994305849,[-0.19907407407407407],[0.1287037037037037],[1],[0],[0],[0.8498976994305849],26.20457539986819,26.219716699793935,27.554885699413717,26.720144500024617,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
5,0,5,[-0.19907407407407407],[0.1287037037037037],[1],[0],[0],[2.250584799796343],0,0,0,0,5,0,5,0,27.57094160001725,,,,,,,,,,,,27.555190700106323,27.57094160001725,0.00031960010528564453,27.57094160001725,27.57094160001725,27.771471899934113,29.555243300274014,29.555243300274014,29.555243300274014,29.571997799910605,29.806285199709237,2,normal,0.25058479979634285,[-0.19907407407407407],[0.1287037037037037],[1],[0],[0],[2.250584799796343],29.80652549955994,29.822137500159442,31.34127390012145,,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
6,0,6,[-0.20092592592592592],[0.12314814814814815],[1],[0],[0],[0.867124100215733],0,0,0,0,6,0,6,0,31.357393800280988,,,,,,,,,,,,31.341532699763775,31.357393800280988,0.0002685999497771263,31.357393800280988,31.357393800280988,31.557471900247037,31.84115959983319,31.84115959983319,31.84115959983319,31.85778299998492,32.209362499415874,0.5,normal,0.36712410021573305,[-0.20092592592592592],[0.12314814814814815],[1],[0],[0],[0.867124100215733],32.209874799475074,32.22472949977964,33.543132400140166,32.72531719971448,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
7,0,7,[-0.20092592592592592],[0.12314814814814815],[1],[0],[0],[0.8506466001272202],0,0,0,0,7,0,7,0,33.559174300171435,,,,,,,,,,,,33.54342489968985,33.559174300171435,0.0003027999773621559,33.559174300171435,33.559174300171435,33.75935429986566,34.04294389951974,34.04294389951974,34.04294389951974,34.059618399478495,34.39486460015178,0.5,normal,0.35064660012722015,[-0.20092592592592592],[0.12314814814814815],[1],[0],[0],[0.8506466001272202],34.39526809938252,34.40993279963732,35.92873479984701,34.91031949967146,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
8,0,8,[-0.20092592592592592],[0.12314814814814815],[1],[0],[0],[0.8503638003021479],0,0,0,0,8,0,8,0,35.944469099864364,,,,,,,,,,,,35.92904719989747,35.944469099864364,0.0003314996138215065,35.944469099864364,35.944469099864364,36.144657799974084,36.428299400024116,36.428299400024116,36.428299400024116,36.444966400042176,36.780256300233305,0.5,normal,0.35036380030214787,[-0.20092592592592592],[0.12314814814814815],[1],[0],[0],[0.8503638003021479],36.780721300281584,36.795307599939406,38.36373359989375,37.29547999985516,Bradley,001,2024-11-13_10h13.27.136,Foreperiod_task,2024.2.1post4,59.706875073671476,2024-11-13 10h13.34.460190 -0800,
