thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,AVG.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Photodiode_2.stopped,Intertrial_Period.stopped,BREAK.started,Instructions.started,key_resp_5.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.003422299399971962,0.007941599935293198,0.00318790040910244,0.9920981992036104,[-0.05925925925925926],[0.11666666666666667],[1],[0],[0],[0.9881621999666095],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bradley,001,2024-11-13_10h15.45.124,Foreperiod_task,2024.2.1post4,59.96832464331937,2024-11-13 10h15.54.717882 -0800,
0,0,0,[-0.05925925925925926],[0.11666666666666667],[1],[0],[0],[0.8836706997826695],,,,0,0,0,0,0,0,0,0,1.0077915992587805,,,,,,,,,,,,0.9928730996325612,1.0077915992587805,0.000719199888408184,1.0077915992587805,1.0077915992587805,1.2085909992456436,1.4919274998828769,1.4919274998828769,1.4919274998828769,1.508653299883008,1.8773373998701572,0.5,normal,0.38367069978266954,[-0.05925925925925926],[0.11666666666666667],[1],[0],[0],[0.8836706997826695],1.8778001992031932,1.8928416995331645,2.1928083999082446,3.5443466994911432,,,,,,,,,,Bradley,001,2024-11-13_10h15.45.124,Foreperiod_task,2024.2.1post4,59.96832464331937,2024-11-13 10h15.54.717882 -0800,
1,0,1,[-0.040740740740740744],[0.16666666666666666],[1],[0],[0],[2.251378200016916],,,,0,0,0,0,1,0,1,0,3.56055870000273,,,,,,,,,,,,3.5445888992398977,3.56055870000273,0.0002557998523116112,3.56055870000273,3.56055870000273,3.7605009991675615,5.5451261000707746,5.5451261000707746,5.5451261000707746,5.561783299781382,5.796514899469912,2,normal,0.2513782000169158,[-0.040740740740740744],[0.16666666666666666],[1],[0],[0],[2.251378200016916],5.796763399615884,5.812316299416125,6.112631599418819,7.447282999753952,,,,,,,,,,Bradley,001,2024-11-13_10h15.45.124,Foreperiod_task,2024.2.1post4,59.96832464331937,2024-11-13 10h15.54.717882 -0800,
2,0,2,[-0.05555555555555555],[0.17222222222222222],[1],[0],[0],[2.351989599876106],,,,0,0,0,0,2,0,2,0,7.463561899960041,,,,,,,,,,,,7.4473842000588775,7.463561899960041,0.00010640081018209457,7.463561899960041,7.463561899960041,7.663724899291992,9.448666799813509,9.448666799813509,9.448666799813509,9.4654291998595,9.799776500090957,2,normal,0.3519895998761058,[-0.05555555555555555],[0.17222222222222222],[1],[0],[0],[2.351989599876106],9.799961599521339,9.815662599168718,10.11623409949243,11.484131000004709,,,,,,,,,,Bradley,001,2024-11-13_10h15.45.124,Foreperiod_task,2024.2.1post4,59.96832464331937,2024-11-13 10h15.54.717882 -0800,
3,0,3,[0.028703703703703703],[0.28055555555555556],[1],[0],[0],[2.235555099323392],,,,0,0,0,0,3,0,3,0,11.500624199397862,,,,,,,,,,,,11.484225299209356,11.500624199397862,9.779911488294601e-05,11.500624199397862,11.500624199397862,11.700225999578834,13.485834499821067,13.485834499821067,13.485834499821067,13.502464599907398,13.72048519924283,2,normal,0.23555509932339191,[0.028703703703703703],[0.28055555555555556],[1],[0],[0],[2.235555099323392],13.720804399810731,13.735821899957955,14.036101199686527,15.021184799261391,,,,,,,,,,Bradley,001,2024-11-13_10h15.45.124,Foreperiod_task,2024.2.1post4,59.96832464331937,2024-11-13 10h15.54.717882 -0800,
4,0,4,[0.016666666666666666],[0.2814814814814815],[1],[0],[0],[2.4512843005359173],,,,0,0,0,0,4,0,4,0,15.036960399709642,,,,,,,,,,,,15.021470899693668,15.036960399709642,0.00028750021010637283,15.036960399709642,15.036960399709642,15.23731149919331,17.02199269924313,17.02199269924313,17.02199269924313,17.038641999475658,17.473458799533546,2,normal,0.4512843005359173,[0.016666666666666666],[0.2814814814814815],[1],[0],[0],[2.4512843005359173],17.47389809973538,17.489019500091672,17.78927969932556,18.80753059964627,,,,,,,,,,Bradley,001,2024-11-13_10h15.45.124,Foreperiod_task,2024.2.1post4,59.96832464331937,2024-11-13 10h15.54.717882 -0800,
5,0,5,[0.016666666666666666],[0.2814814814814815],[1],[0],[0],[2.234660700894892],,,,0,0,0,0,5,0,5,0,18.823499899357557,,,,,,,,,,,,18.807813099585474,18.823499899357557,0.0002934001386165619,18.823499899357557,18.823499899357557,19.02359589934349,20.80855149962008,20.80855149962008,20.80855149962008,20.825318600051105,21.04313789959997,2,normal,0.23466070089489222,[0.016666666666666666],[0.2814814814814815],[1],[0],[0],[2.234660700894892],21.043480399996042,21.058589399792254,21.358689500018954,22.677542000077665,,,,,,,,,,Bradley,001,2024-11-13_10h15.45.124,Foreperiod_task,2024.2.1post4,59.96832464331937,2024-11-13 10h15.54.717882 -0800,
6,0,6,[-0.02962962962962963],[0.2574074074074074],[1],[0],[0],[2.234821300022304],,,,0,0,0,0,6,0,6,0,22.692590599879622,,,,,,,,,,,,22.677753999829292,22.692590599879622,0.00022090040147304535,22.692590599879622,22.692590599879622,22.89357229974121,24.678350599482656,24.678350599482656,24.678350599482656,24.694993599317968,24.913196299225092,2,normal,0.23482130002230406,[-0.02962962962962963],[0.2574074074074074],[1],[0],[0],[2.234821300022304],24.913536299951375,24.92847289983183,25.229041999205947,26.21357630006969,,,,,,,,,,Bradley,001,2024-11-13_10h15.45.124,Foreperiod_task,2024.2.1post4,59.96832464331937,2024-11-13 10h15.54.717882 -0800,
7,0,7,[-0.02962962962962963],[0.2574074074074074],[1],[0],[0],[2.2516249995678663],,,,0,0,0,0,7,0,7,0,26.22967469971627,,,,,,,,,,,,26.2138596996665,26.22967469971627,0.0002985997125506401,26.22967469971627,26.22967469971627,26.43012689985335,28.214654699899256,28.214654699899256,28.214654699899256,28.23166809976101,28.4661817997694,2,normal,0.2516249995678663,[-0.02962962962962963],[0.2574074074074074],[1],[0],[0],[2.2516249995678663],28.466546399518847,28.48154499940574,28.78167719952762,29.76655749976635,,,,,,,,,,Bradley,001,2024-11-13_10h15.45.124,Foreperiod_task,2024.2.1post4,59.96832464331937,2024-11-13 10h15.54.717882 -0800,
8,0,8,[-0.03333333333333333],[0.26296296296296295],[1],[0],[0],[0.9507698006927967],,,,0,0,0,0,8,0,8,0,29.782573899254203,,,,,,,,,,,,29.766808699816465,29.782573899254203,0.00026459991931915283,29.782573899254203,29.782573899254203,29.98219189979136,30.266530899330974,30.266530899330974,30.266530899330974,30.283060499466956,30.71838349942118,0.5,normal,0.4507698006927967,[-0.03333333333333333],[0.26296296296296295],[1],[0],[0],[0.9507698006927967],30.718833599239588,30.733498699963093,31.033765699714422,32.05244820006192,,,,,,,,,,Bradley,001,2024-11-13_10h15.45.124,Foreperiod_task,2024.2.1post4,59.96832464331937,2024-11-13 10h15.54.717882 -0800,
