thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,AVG.started,PLUS_FP.stopped,polygon.started,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Period.stopped,Photodiode_2.stopped,BREAK.started,Instructions.started,key_resp_5.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.0029596006497740746,0.019348899833858013,0.0026913005858659744,9.011755600571632,[-0.03888888888888889],[0.11944444444444445],[1],[0],[0],[9.008058299310505],,,,,,,,,,,,,,,,,,,,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
0,0,0,[-0.03888888888888889],[0.11944444444444445],[1],[0],[0],[2.499884800054133],,,,0,0,0,0,0,0,0,0,9.026657099835575,,,,,,,,,,,,9.013185900636017,9.026657099835575,0.001310199499130249,9.026657099835575,11.011953200213611,11.011953200213611,11.513782899826765,2,normal,0.49988480005413294,[-0.03888888888888889],[0.11944444444444445],[1],[0],[0],[2.499884800054133],11.51422409992665,11.52917299978435,13.147795700468123,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
1,0,1,[-0.03888888888888889],[0.11944444444444445],[1],[0],[0],[2.3019008999690413],,,,0,0,0,0,1,0,1,0,13.163644100539386,,,,,,,,,,,,13.14810479991138,13.163644100539386,0.00031960010528564453,13.163644100539386,15.148762499913573,15.148762499913573,15.450985400006175,2,normal,0.30190089996904135,[-0.03888888888888889],[0.11944444444444445],[1],[0],[0],[2.3019008999690413],15.451486700214446,15.465951600112021,17.01789760030806,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
2,0,2,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[1.283330900594592],,,,0,0,0,0,2,0,2,0,17.03435130044818,,,,,,,,,,,,17.018210100010037,17.03435130044818,0.000322599895298481,17.03435130044818,17.516591100022197,17.516591100022197,18.302311200648546,0.5,normal,0.7833309005945921,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[1.283330900594592],18.302732300013304,18.31794199999422,19.98567910026759,18.81848520040512,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
3,0,3,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.8845482999458909],,,,0,0,0,0,3,0,3,0,20.002378500066698,,,,,,,,,,,,19.9857986997813,20.002378500066698,0.00011829938739538193,20.002378500066698,20.486713900230825,20.486713900230825,20.87103939987719,0.5,normal,0.3845482999458909,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.8845482999458909],20.871446100063622,20.887044600211084,22.10528799984604,21.38656850066036,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
4,0,4,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.2839471995830536],,,,0,0,0,0,4,0,4,0,22.12119650002569,,,,,,,,,,,,22.105581800453365,22.12119650002569,0.0003249002620577812,22.12119650002569,24.106213900260627,24.106213900260627,24.39024810027331,2,normal,0.2839471995830536,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.2839471995830536],24.39065119996667,24.406496400013566,26.07528949994594,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
5,0,5,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.8170188004150987],,,,0,0,0,0,5,0,5,0,26.091223400086164,,,,,,,,,,,,26.075537499971688,26.091223400086164,0.0002529006451368332,26.091223400086164,26.57495340052992,26.57495340052992,26.89317180030048,0.5,normal,0.31701880041509867,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.8170188004150987],26.89352780021727,26.908418499864638,28.461042700335383,27.409046799875796,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
6,0,6,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.7831285996362567],,,,0,0,0,0,6,0,6,0,28.476702500134706,,,,,,,,,,,,28.461309799924493,28.476702500134706,0.00027250032871961594,28.476702500134706,28.960200800560415,28.960200800560415,29.24515390023589,0.5,normal,0.2831285996362567,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.7831285996362567],29.24552119988948,29.26056549977511,30.812566500157118,29.760996299795806,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
7,0,7,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[1.617153299972415],,,,0,0,0,0,7,0,7,0,30.828549100086093,,,,,,,,,,,,30.81284600030631,30.828549100086093,0.00028659962117671967,30.828549100086093,32.12981060054153,32.12981060054153,32.43055520020425,1.3073453343731922,surprise,0.30980796559922275,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[1.617153299972415],32.43087610043585,32.44654260016978,33.91511780023575,33.76420550048351,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
8,0,8,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.9005245994776487],,,,0,0,0,0,8,0,8,0,33.931096400134265,,,,,,,,,,,,33.91539330035448,33.931096400134265,0.00028249993920326233,33.931096400134265,34.43160010036081,34.43160010036081,34.81656530033797,0.5,normal,0.40052459947764874,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.9005245994776487],34.81691030040383,34.83191649988294,36.18354910053313,35.33225170057267,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
