thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,AVG.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Photodiode_2.stopped,Intertrial_Period.stopped,BREAK.started,Instructions.started,key_resp_5.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.002980000339448452,0.011991799809038639,0.0028214994817972183,11.007287699729204,[-0.09722222222222222],[0.1527777777777778],[1],[0],[0],[11.003690999932587],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
0,0,0,[-0.13333333333333333],[0.14166666666666666],[1],[0],[0],[1.71535350009799],,,,0,0,0,0,0,0,0,0,11.021708000451326,,,,,,,,,,,,11.00878950022161,11.021708000451326,0.0013812007382512093,11.021708000451326,11.021708000451326,11.22213330026716,12.423282699659467,12.423282699659467,12.423282699659467,12.439852300100029,12.725051299668849,1.406076647586901,surprise,0.30927685251108894,[-0.13333333333333333],[0.14166666666666666],[1],[0],[0],[1.71535350009799],12.725509700365365,12.74017750006169,13.0404147002846,14.358857500366867,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
1,0,1,[-0.13333333333333333],[0.14166666666666666],[1],[0],[0],[2.284518700093031],,,,0,0,0,0,1,0,1,0,14.37493360042572,,,,,,,,,,,,14.3591234004125,14.37493360042572,0.00028190016746520996,14.37493360042572,14.37493360042572,14.574946099892259,16.36001109983772,16.36001109983772,16.36001109983772,16.376673500053585,16.644321700558066,2,normal,0.28451870009303093,[-0.13333333333333333],[0.14166666666666666],[1],[0],[0],[2.284518700093031],16.64470750000328,16.659989000298083,16.960634600371122,17.96209440007806,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
2,0,2,[-0.13518518518518519],[0.14166666666666666],[1],[0],[0],[2.2846298003569245],,,,0,0,0,0,2,0,2,0,17.978020300157368,,,,,,,,,,,,17.962377600371838,17.978020300157368,0.000295800156891346,17.978020300157368,17.978020300157368,18.178141999989748,19.962966799736023,19.962966799736023,19.962966799736023,19.979715299792588,20.247658899985254,2,normal,0.28462980035692453,[-0.13518518518518519],[0.14166666666666666],[1],[0],[0],[2.2846298003569245],20.24801869969815,20.26289079990238,20.5634631998837,21.865608700551093,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
3,0,3,[-0.13518518518518519],[0.14166666666666666],[1],[0],[0],[0.9000369003042579],,,,0,0,0,0,3,0,3,0,21.881389900110662,,,,,,,,,,,,21.866053899750113,21.881389900110662,0.0004537999629974365,21.881389900110662,21.881389900110662,22.081470999866724,22.36488789971918,22.36488789971918,22.36488789971918,22.381594399921596,22.76709510013461,0.5,normal,0.40003690030425787,[-0.13518518518518519],[0.14166666666666666],[1],[0],[0],[0.9000369003042579],22.767540199682117,22.782018300145864,23.082248699851334,24.1506066005677,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
4,0,4,[-0.06296296296296296],[0.14166666666666666],[1],[0],[0],[0.8504579998552799],,,,0,0,0,0,4,0,4,0,24.16641109995544,,,,,,,,,,,,24.150885400362313,24.16641109995544,0.0003484003245830536,24.16641109995544,24.16641109995544,24.366648100316525,24.650360300205648,24.650360300205648,24.650360300205648,24.666412900201976,25.00209920015186,0.5,normal,0.3504579998552799,[-0.06296296296296296],[0.14166666666666666],[1],[0],[0],[0.8504579998552799],25.002446100115776,25.017218899913132,25.317182299681008,26.585620400495827,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
5,0,5,[-0.06296296296296296],[0.14166666666666666],[1],[0],[0],[1.551226899959147],,,,0,0,0,0,5,0,5,0,26.601892200298607,,,,,,,,,,,,26.585934599861503,26.601892200298607,0.0003241999074816704,26.601892200298607,26.601892200298607,26.801962699741125,27.869692699983716,27.869692699983716,27.869692699983716,27.886389000341296,28.138019599951804,1.2714146431947833,surprise,0.2798122567643637,[-0.06296296296296296],[0.14166666666666666],[1],[0],[0],[1.551226899959147],28.138508000411093,28.153342300094664,28.453350700438023,29.47168350033462,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
6,0,6,[-0.06296296296296296],[0.14166666666666666],[1],[0],[0],[2.2512902999296784],,,,0,0,0,0,6,0,6,0,29.487789399921894,,,,,,,,,,,,29.471970099955797,29.487789399921894,0.00030250009149312973,29.487789399921894,29.487789399921894,29.687840499915183,31.472413700073957,31.472413700073957,31.472413700073957,31.48910850007087,31.724038500338793,2,normal,0.25129029992967844,[-0.06296296296296296],[0.14166666666666666],[1],[0],[0],[2.2512902999296784],31.72450670041144,31.739404699765146,32.03967200033367,33.40801839996129,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
7,0,7,[-0.06296296296296296],[0.14166666666666666],[1],[0],[0],[0.8165458999574184],,,,0,0,0,0,7,0,7,0,33.4241335997358,,,,,,,,,,,,33.40828590001911,33.4241335997358,0.0002798996865749359,33.4241335997358,33.4241335997358,33.62421669997275,33.9077856997028,33.9077856997028,33.9077856997028,33.92449910007417,34.225476699881256,0.5,normal,0.31654589995741844,[-0.06296296296296296],[0.14166666666666666],[1],[0],[0],[0.8165458999574184],34.22593070007861,34.24163950048387,34.54165960010141,35.443106800317764,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
8,0,8,[-0.06296296296296296],[0.14166666666666666],[1],[0],[0],[2.3011934999376535],,,,0,0,0,0,8,0,8,0,35.459149500355124,,,,,,,,,,,,35.443388800136745,35.459149500355124,0.00029879994690418243,35.459149500355124,35.459149500355124,35.659221400506794,37.44422330055386,37.44422330055386,37.44422330055386,37.46082600019872,37.745446000248194,2,normal,0.30119349993765354,[-0.06296296296296296],[0.14166666666666666],[1],[0],[0],[2.3011934999376535],37.74587529990822,37.761077700182796,38.06136860046536,39.3129972005263,,,,,,,,,,Bradley_Zn,001,2024-11-13_10h31.09.822,Foreperiod_task,2024.2.1post4,60.01579622195129,2024-11-13 10h31.20.448948 -0800,
