thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,AVG.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Photodiode_2.stopped,Intertrial_Period.stopped,text.started,BREAK.started,Instructions.started,key_resp_5.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.0029632002115249634,0.017591100186109543,0.002804599702358246,34.865246900357306,[-0.5074074074074074],[0.2574074074074074],[1],[0],[0],[34.86162310000509],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
0,0,0,[-0.8888888888888888],[0.4564814814814815],[1],[0],[0],[2.132265199907124],,,,0,0,0,0,0,0,0,0,34.879708600230515,,,,,,,,,,,,34.86707360018045,34.879708600230515,0.0017228005453944206,34.879708600230515,34.879708600230515,35.0808265004307,35.38079670071602,35.38079670071602,35.38079670071602,35.397583700716496,36.99998250044882,0.5,normal,1.632265199907124,[-0.8888888888888888],[0.4564814814814815],[1],[0],[0],[2.132265199907124],37.000319600105286,37.01544040068984,37.31562200002372,38.317156500183046,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
1,0,1,[-0.8888888888888888],[0.4564814814814815],[1],[0],[0],[1.1006739996373653],,,,0,0,0,0,1,0,1,0,38.33316669985652,,,,,,,,,,,,38.317442500032485,38.33316669985652,0.00030430033802986145,38.33316669985652,38.33316669985652,38.53361630067229,38.81693929992616,38.81693929992616,38.81693929992616,38.83354980032891,39.418821800500154,0.5,normal,0.6006739996373653,[-0.8888888888888888],[0.4564814814814815],[1],[0],[0],[1.1006739996373653],39.41923310048878,39.434124500490725,39.73444520030171,40.85260950028896,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
2,0,2,[-0.8787037037037037],[0.4564814814814815],[1],[0],[0],[1.567968400195241],,,,0,0,0,0,2,0,2,0,40.86872160062194,,,,,,,,,,,,40.85288800019771,40.86872160062194,0.00029460061341524124,40.86872160062194,40.86872160062194,41.06873160041869,41.35241500008851,41.35241500008851,41.35241500008851,41.369009899906814,42.42160450015217,0.5,normal,1.067968400195241,[-0.8787037037037037],[0.4564814814814815],[1],[0],[0],[1.567968400195241],42.42197259981185,42.43594610039145,42.736809600144625,43.87123730033636,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
3,0,3,[-0.8787037037037037],[0.4564814814814815],[1],[0],[0],[2.4524482004344463],,,,0,0,0,0,3,0,3,0,43.88739070016891,,,,,,,,,,,,43.87139660026878,43.88739070016891,0.00016949977725744247,43.88739070016891,43.88739070016891,44.08762890007347,45.87307540047914,45.87307540047914,45.87307540047914,45.889454499818385,46.324456800706685,2,normal,0.45244820043444633,[-0.8787037037037037],[0.4564814814814815],[1],[0],[0],[2.4524482004344463],46.32477470021695,46.340060899965465,46.64017560053617,47.99137909989804,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
4,0,4,[-0.6675925925925926],[0.45185185185185184],[1],[0],[0],[0.9509601993486285],,,,0,0,0,0,4,0,4,0,48.00746749993414,,,,,,,,,,,,47.99153140000999,48.00746749993414,0.00016089994460344315,48.00746749993414,48.00746749993414,48.207676500082016,48.49168200045824,48.49168200045824,48.49168200045824,48.508398400619626,48.94330430030823,0.5,normal,0.4509601993486285,[-0.6675925925925926],[0.45185185185185184],[1],[0],[0],[0.9509601993486285],48.943776700645685,48.95890269987285,49.25853030011058,50.27670569997281,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
5,0,5,[-0.6675925925925926],[0.45185185185185184],[1],[0],[0],[1.001066300086677],,,,0,0,0,0,5,0,5,0,50.29325690027326,,,,,,,,,,,,50.27694500051439,50.29325690027326,0.0002535991370677948,50.29325690027326,50.29325690027326,50.49328630045056,50.776994300074875,50.776994300074875,50.776994300074875,50.79362790007144,51.278752100653946,0.5,normal,0.5010663000866771,[-0.6675925925925926],[0.45185185185185184],[1],[0],[0],[1.001066300086677],51.27925940044224,51.2940468005836,51.5942497998476,52.94621190056205,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
6,0,6,[-0.6675925925925926],[0.45185185185185184],[1],[0],[0],[1.0339837996289134],,,,0,0,0,0,6,0,6,0,52.96234340034425,,,,,,,,,,,,52.946491500362754,52.96234340034425,0.00028380006551742554,52.96234340034425,52.96234340034425,53.16216820012778,53.445474000647664,53.445474000647664,53.445474000647664,53.462269900366664,53.981380300596356,0.5,normal,0.5339837996289134,[-0.6675925925925926],[0.45185185185185184],[1],[0],[0],[1.0339837996289134],53.98193780053407,53.996220000088215,54.29651920031756,55.38134890049696,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
7,0,7,[-0.6675925925925926],[0.45185185185185184],[1],[0],[0],[2.318465800024569],,,,0,0,0,0,7,0,7,0,55.39739360008389,,,,,,,,,,,,55.381626300513744,55.39739360008389,0.0002927994355559349,55.39739360008389,55.39739360008389,55.59757740050554,57.38239650055766,57.38239650055766,57.38239650055766,57.39917530026287,57.700933599844575,2,normal,0.31846580002456903,[-0.6675925925925926],[0.45185185185185184],[1],[0],[0],[2.318465800024569],57.701420799829066,57.715994000434875,58.016259900294244,59.233696199953556,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
8,0,8,[-0.6675925925925926],[0.45185185185185184],[1],[0],[0],[2.3856041999533772],,,,0,0,0,0,8,0,8,0,59.25052050035447,,,,,,,,,,,,59.23383540008217,59.25052050035447,0.0001471005380153656,59.25052050035447,59.25052050035447,59.45046960003674,61.23496550042182,61.23496550042182,61.23496550042182,61.251407800242305,61.62010880000889,2,normal,0.38560419995337725,[-0.6675925925925926],[0.45185185185185184],[1],[0],[0],[2.3856041999533772],61.62071010004729,61.63591780047864,61.93626810051501,62.887664900161326,,,,,,,,,TestPilot,001,2024-11-13_11h07.18.248,Foreperiod_task,2024.2.1post4,60.094312214030396,2024-11-13 11h07.33.478345 -0800,
