thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Intertrial_Mouse.x,Intertrial_Mouse.y,Intertrial_Mouse.leftButton,Intertrial_Mouse.midButton,Intertrial_Mouse.rightButton,Intertrial_Mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Mouse.started,Photodiode_2.stopped,Intertrial_Period.stopped,trials_2.Intertrial_Mouse.x,trials_2.Intertrial_Mouse.y,trials_2.Intertrial_Mouse.leftButton,trials_2.Intertrial_Mouse.midButton,trials_2.Intertrial_Mouse.rightButton,trials_2.Intertrial_Mouse.time,BREAK.started,key_resp_5.started,text_3.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003179199993610382,0.01008679997175932,0.0030201002955436707,26.65135459974408,[-0.1111111111111111],[0.1388888888888889],[1],[0],[0],[26.647531700320542],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kelsey,Kelsey,2024-11-22_13h31.35.479,Foreperiod_task,2024.2.1post4,59.87059544845408,2024-11-22 13h31.48.355505 -0800,
0,0,0,[-0.1111111111111111],[0.1388888888888889],[1],[0],[0],[1.7652521999552846],[],[],[],[],[],[],,,,0,0,0,0,0,0,0,0,26.666621099226177,,,,,,,,,,,,26.652802399359643,26.666621099226177,0.0013336995616555214,26.666621099226177,26.866927499882877,28.051150099374354,28.051150099374354,28.051150099374354,28.067838199436665,28.418504299595952,1.397128771879125,surprise,0.3681234280761596,[-0.1111111111111111],[0.1388888888888889],[1],[0],[0],[1.7652521999552846],28.41871659923345,28.43382819928229,0.00016039982438087463,28.735221999697387,29.969726899638772,[],[],[],[],[],[],,,,,,,,,,Kelsey,Kelsey,2024-11-22_13h31.35.479,Foreperiod_task,2024.2.1post4,59.87059544845408,2024-11-22 13h31.48.355505 -0800,
1,0,1,[-0.1111111111111111],[0.1388888888888889],[1],[0],[0],[1.3176080007106066],[],[],[],[],[],[],,,,0,0,0,0,1,0,1,0,29.98604009952396,,,,,,,,,,,,29.970088099129498,29.98604009952396,0.00028190016746520996,29.98604009952396,30.18619539961219,30.987138299271464,30.987138299271464,30.987138299271464,31.0036342991516,31.28847079910338,1.0021983959672724,surprise,0.3154096047433341,[-0.1111111111111111],[0.1388888888888889],[1],[0],[0],[1.3176080007106066],31.288934499956667,31.303950099274516,0.0003343997523188591,31.60412689950317,32.97278989944607,[],[],[],[],[],[],,,,,,,,,,Kelsey,Kelsey,2024-11-22_13h31.35.479,Foreperiod_task,2024.2.1post4,59.87059544845408,2024-11-22 13h31.48.355505 -0800,
2,0,2,[-0.1111111111111111],[0.1388888888888889],[1],[0],[0],[0.8834219994023442],[],[],[],[],[],[],,,,0,0,0,0,2,0,2,0,32.98855139967054,,,,,,,,,,,,32.97316289972514,32.98855139967054,0.0002891998738050461,32.98855139967054,33.18859859928489,33.47241729963571,33.47241729963571,33.47241729963571,33.48902889993042,33.85729009937495,0.5,normal,0.3834219994023442,[-0.1111111111111111],[0.1388888888888889],[1],[0],[0],[0.8834219994023442],33.85765149910003,33.87268449924886,0.00024059973657131195,34.17297049984336,35.39138239994645,[],[],[],[],[],[],,,,,,,,,,Kelsey,Kelsey,2024-11-22_13h31.35.479,Foreperiod_task,2024.2.1post4,59.87059544845408,2024-11-22 13h31.48.355505 -0800,
3,0,3,[-0.1111111111111111],[0.1388888888888889],[1],[0],[0],[0.8168489998206496],[],[],[],[],[],[],,,,0,0,0,0,3,0,3,0,35.40726829972118,,,,,,,,,,,,35.39181449916214,35.40726829972118,0.0003565000370144844,35.40726829972118,35.607387899421155,35.891026799567044,35.891026799567044,35.891026799567044,35.90765519998968,36.209517899900675,0.5,normal,0.3168489998206496,[-0.1111111111111111],[0.1388888888888889],[1],[0],[0],[0.8168489998206496],36.21000629942864,36.22478279937059,0.0003325995057821274,36.524890000000596,37.40969939995557,[],[],[],[],[],[],,,,,,,,,,Kelsey,Kelsey,2024-11-22_13h31.35.479,Foreperiod_task,2024.2.1post4,59.87059544845408,2024-11-22 13h31.48.355505 -0800,
4,0,4,[-0.1111111111111111],[0.1388888888888889],[1],[0],[0],[0.833661399781704],[],[],[],[],[],[],,,,0,0,0,0,4,0,4,0,37.42565939947963,,,,,,,,,,,,37.41006839927286,37.42565939947963,0.00028249993920326233,37.42565939947963,37.62590149976313,37.9093321999535,37.9093321999535,37.9093321999535,37.925924599170685,38.24462799914181,0.5,normal,0.33366139978170395,[-0.1111111111111111],[0.1388888888888889],[1],[0],[0],[0.833661399781704],38.245146699249744,38.259727999567986,0.00034510064870119095,38.55995299946517,39.54479399975389,[],[],[],[],[],[],,,,,,,,,,Kelsey,Kelsey,2024-11-22_13h31.35.479,Foreperiod_task,2024.2.1post4,59.87059544845408,2024-11-22 13h31.48.355505 -0800,
5,0,5,[-0.1111111111111111],[0.1388888888888889],[1],[0],[0],[0.8169353995472193],[],[],[],[],[],[],,,,0,0,0,0,5,0,5,0,39.560683199204504,,,,,,,,,,,,39.54515289980918,39.560683199204504,0.0002862000837922096,39.560683199204504,39.7608696995303,40.044479199685156,40.044479199685156,40.044479199685156,40.06110950000584,40.362871799618006,0.5,normal,0.3169353995472193,[-0.1111111111111111],[0.1388888888888889],[1],[0],[0],[0.8169353995472193],40.36329109966755,40.37779179960489,0.00030030030757188797,40.67845579981804,41.996792499907315,[],[],[],[],[],[],,,,,,,,,,Kelsey,Kelsey,2024-11-22_13h31.35.479,Foreperiod_task,2024.2.1post4,59.87059544845408,2024-11-22 13h31.48.355505 -0800,
6,0,6,[-0.1111111111111111],[0.1388888888888889],[1],[0],[0],[2.4502731999382377],[],[],[],[],[],[],,,,0,0,0,0,6,0,6,0,42.01265159994364,,,,,,,,,,,,41.99714189954102,42.01265159994364,0.000283900648355484,42.01265159994364,42.21286689955741,43.997717699967325,43.997717699967325,43.997717699967325,44.01445159967989,44.447846699506044,2,normal,0.45027319993823767,[-0.1111111111111111],[0.1388888888888889],[1],[0],[0],[2.4502731999382377],44.44812879990786,44.46457159984857,0.00023589935153722763,44.76499719917774,45.983044299297035,[],[],[],[],[],[],,,,,,,,,,Kelsey,Kelsey,2024-11-22_13h31.35.479,Foreperiod_task,2024.2.1post4,59.87059544845408,2024-11-22 13h31.48.355505 -0800,
7,0,7,[-0.1111111111111111],[0.1388888888888889],[1],[0],[0],[0.9175311997532845],[],[],[],[],[],[],,,,0,0,0,0,7,0,7,0,45.999395799823105,,,,,,,,,,,,45.983388499356806,45.999395799823105,0.00027109961956739426,45.999395799823105,46.19966599997133,46.48312249965966,46.48312249965966,46.48312249965966,46.50008269958198,46.901888399384916,0.5,normal,0.41753119975328445,[-0.1111111111111111],[0.1388888888888889],[1],[0],[0],[0.9175311997532845],46.902428899891675,46.9168484993279,0.000408099964261055,47.21695669926703,48.55207399930805,[],[],[],[],[],[],,,,,,,,,,Kelsey,Kelsey,2024-11-22_13h31.35.479,Foreperiod_task,2024.2.1post4,59.87059544845408,2024-11-22 13h31.48.355505 -0800,
8,0,8,[-0.1111111111111111],[0.1388888888888889],[1],[0],[0],[2.3350896993651986],[],[],[],[],[],[],,,,0,0,0,0,8,0,8,0,48.568164699710906,,,,,,,,,,,,48.55244919937104,48.568164699710906,0.0002934001386165619,48.568164699710906,48.76822039950639,50.5532834995538,50.5532834995538,50.5532834995538,50.56985619943589,50.88869939930737,2,normal,0.3350896993651986,[-0.1111111111111111],[0.1388888888888889],[1],[0],[0],[2.3350896993651986],50.88929650001228,50.903589899651706,0.00046790018677711487,51.20390159916133,52.12180029973388,[],[],[],[],[],[],,,,,,,,,,Kelsey,Kelsey,2024-11-22_13h31.35.479,Foreperiod_task,2024.2.1post4,59.87059544845408,2024-11-22 13h31.48.355505 -0800,
